MM,AM,BM,CM,MA,AA,BA,CA,MB,AB,BB,CB,MC,AC,BC,CC,DifA,DifB,DifC,DegA,DegB,DegC
0,0,0,0,0,0,-8.214790811,4.372164799,9.682948333,0,0,0,4.401401183,0,4.01870434,0,0.003632290453,0.08730125824,0.07205131778,0.04161945547,0.0658042741,0.08718186461
0,0,0,0,-6.349517482,0,6.870109765,0,9.077429023,0,0,0,9.988937869,3.933030902,-7.18470302,0,0.03421274725,0.0874091748,0.01033079121,0.1159950277,0.06623647268,0.09511742772
0,0,0,0,0,3.030419522,3.201218121,-9.881739325,3.243112035,0,0,4.795639638,9.246998614,0,0,0,0.00664979001,0.04298881543,0.04562713783,0.1167855423,0.08848714555,0.07865609672
0,0,0,0,0,0,4.968021406,-8.243278422,3.877370484,0,0,5.233661676,9.513538978,0,0,0,0.03442987736,0.09786907249,0.0287678769,0.06735428078,0.126344408,0.07014074725
0,0,0,0,0,0.6116753705,4.13756502,-8.864925253,0,0,0,4.626469852,9.533689349,0,0,0,0.003178120567,0.05448657338,0.09632113296,0.04944421692,0.1023304029,0.07131639202
0,0,0,0,0,0,-7.825675967,3.159661137,9.246743971,0,0,0,0,0,5.123562644,0,0.006019735851,0.04127563566,0.03045161419,0.07300999629,0.06162463295,0.0689352483
0,0,0,0,0,0.3677209009,-8.193060165,4.584200903,9.909258846,0,0,0,0,0,4.28292328,0,0.002667617742,0.05322903696,0.002769047238,0.07161671893,0.06206519553,0.08832810348
0,0,0,0,0,0,-7.687383938,3.556012221,9.831829694,0,0,0,0,0,4.557270599,0,0.01320231206,0.02848026893,0.02190574786,0.1081927333,0.06453435195,0.07854890123
0,0,0,0,0,0,-6.053784279,3.828039061,9.46905692,0,0,0,-7.765990963,0,5.378915981,0,0.00709165442,0.04415014515,0.02177665291,0.09208237216,0.04662121347,0.08766678592
0,0,0,0,0,0,-7.031996404,4.270844183,9.46905692,0,0,0,-5.578726634,0,5.17230339,0,0.02105178536,0.006295878699,0.0171789013,0.08957732797,0.04662121347,0.09047352129
0,0,0,0,-9.744756115,0,0,6.668962932,0,4.117315262,0,-4.007477962,9.044325375,0,0,0,0.05605323859,0.01718943953,0.02972527651,0.1266153453,0.0734779699,0.04401405512
0,0,0,0,0,0,-9.84664835,4.584200903,9.682948333,0,0,0,2.927533287,0,4.01870434,0,0.006780279276,0.05485848943,0.0725635563,0.06961204592,0.06536834847,0.07964919216
0,0,0,0,0,-0.2799403641,8.65339147,0,9.096154533,0,0,0,0,2.603546653,-9.182917602,0,0.07204705524,0.0312396171,0.01820024854,0.06718935471,0.07065768561,0.1279021995
0,0,0,0,0,-0.2799403641,8.7412444,0,9.096154533,0,0,0,0,2.603546653,-7.749544379,0,0.06369162528,0.09114668183,0.00519439274,0.06805044009,0.07065768561,0.1279021995
0,0,0,0,-9.302195638,0,4.586088128,-6.429207146,-5.185979468,0,0,8.775450299,8.563952615,0,0,0,0.03061954643,0.002892925848,0.09888119278,0.1022496342,0.116953569,0.06200476978
0,0,0,0,0,-1.253070789,0,8.418080361,-9.075052294,3.930842099,0,-4.352349968,8.858395709,0,0,0,0.01925990676,0.006572223051,0.06851666712,0.1019439697,0.06932913426,0.04261171652
0,0,0,0,4.543040124,0,3.451754849,0,8.881416195,0,0,0,0,6.327863673,-7.331308225,0,0.0005351168476,0.06697205795,0.005224685444,0.1234469423,0.047194614,0.107310815
0,0,0,0,8.753719165,0,0,2.629139917,1.928480006,4.414659499,0,-7.565335486,6.963322318,0,0,0,0.0719025148,0.001614986676,0.07069084588,0.1185349729,0.08893752526,0.03657333702
0,0,0,0,0.1321782949,0,6.904842474,0,9.096154533,0,0,0,0,2.951055403,-7.412450252,0,0.08523912926,0.04955260642,0.0008161784274,0.08229753147,0.07193416351,0.07474442366
0,0,0,0,5.988010025,0,4.307167784,0,8.746348121,0,0,0,0,5.85510521,-9.236360756,0,0.08892714535,0.001924749715,0.007547740493,0.1288642814,0.06389432699,0.03456228688
0,0,0,0,7.93585697,0,0,2.629139917,0,4.414659499,0.3326056485,-8.079331806,6.993088182,0,0,0,0.05418179523,0.002549918673,0.05645193523,0.1185349729,0.04430854742,0.03324645969
0,0,0,0,9.697322893,0,0,2.490363059,0,5.60951103,0,-9.372581175,6.830913589,0,0,0,0.004876146918,0.01309148595,0.02942088873,0.1230296747,0.1193850135,0.03186871826
0,0,0,0,7.511811611,0,0,2.521701781,0,4.891994552,0.4900158223,-7.921138706,7.093821776,0,0,0,0.007646974203,0.004084975834,0.09040724413,0.1215075791,0.06279220925,0.03388150417
0,0,0,0,9.356424774,0,0,2.973834262,0,4.777371341,0,-8.815506466,6.830913589,0,0,0,0.04054763369,0.001790013581,0.004566587903,0.1185349729,0.08750498101,0.0318539556
0,0,0,0,8.084099066,0,0,2.720974594,0,4.891994552,0,-8.234968566,7.093821776,0,0,0,0.01040816446,0.006690039557,0.01176392879,0.1215075791,0.07602258363,0.03381273357
0,0,0,0,9.939627217,-0.7643894329,0,0,0,-8.531124945,0.7177822258,1.765968543,0,5.79444688,0,0,0.04876587761,0.003468653871,0.01519090804,0.04099083804,0.06943394551,0.08427649114
0,0,0,0,8.27414345,-0.8094358455,0,0,-9.525247982,-9.129685623,0.9139984335,2.026579756,7.814345894,4.660997024,0,0,0.004836738035,0.003528317899,0.06244723001,0.03072138254,0.1255964396,0.08371622648
0,0,0,0,0,0,0,4.906085318,0,6.288116717,0,-7.449951886,7.733793984,0,0,0,0.06961828032,0.01727482464,0.07165187032,0.1372569623,0.07357693612,0.04057837255
0,0,0,0,0,0,5.148094498,0,8.786060592,0,0,0,0,5.231186138,-8.351186773,0.6421039152,0.01741520674,0.09737532665,0.03088340621,0.1233502526,0.05516873609,0.1298534953
0,0,0,0,0,0,6.870109765,0,9.077429023,0,0.02105160888,0,0,4.308243114,-7.18470302,0,0.07359769428,0.03898587714,0.008676369656,0.115769515,0.06623647268,0.07065981259
0,0,0,0,-7.319472059,0,7.548205351,0,9.05754023,0,0,0,0,3.510845015,-7.734955001,0,0.07670620578,0.06319438902,0.008600596149,0.07753253744,0.06130415107,0.09018239305
0,0,0,0,0,0,3.997263294,-4.954395516,0,0,0,3.194279703,9.258376804,0,0,0,0.005852397236,0.07239520796,0.05892100945,0.1126134721,0.08101170054,0.03672575176
0,0,0,0,0,0.8260934456,4.327388027,-9.615283525,0,0,0,4.445035051,9.379853603,0,0,0,0.006922370161,0.05110840985,0.07243634934,0.06483126008,0.09581607247,0.06599749951
0,0,0,0,0,3.547877749,3.07295302,-8.365371962,4.134004427,0,-0.3303669212,4.31103162,9.435054248,0,0,0,0.008185737026,0.02879629912,0.06787791025,0.1160980633,0.09133442336,0.0835290942
0,0,0,0,0,0.6605515826,-5.547472075,2.857687449,9.64858264,0,0,0,0,0,2.743250417,0,0.004483317012,0.0899245313,0.02816033912,0.08777240112,0.03991655886,0.06044898414
0,0,0,0,0,0,-9.431081625,4.54235723,9.909258846,0,0,0,0,0,4.540778093,0,0.0002862505147,0.02306032371,0.02643739077,0.05231624923,0.06206519553,0.08190486416
0,0,0,0,0,0,-7.687383938,3.926024856,9.831829694,0,0,0,0,0,4.615157788,0,0.007093412917,0.06843456777,0.0104626901,0.1160467549,0.06661063536,0.0800962623
0,0,0,0,0,2.089541407,-5.482081863,2.772587889,9.234313612,0,0,0,0,0,2.767470931,0,0.002212675225,0.03075434399,0.06993479428,0.06285070364,0.04114000647,0.07057352989
0,0,0,0,0,0.629260748,-2.506423869,2.393192911,9.910178997,0,0,0,-6.111613683,0,2.997564449,0,0.005028374787,0.02315185701,0.003649162346,0.1322740348,0.03277331309,0.07473649952
0,0,0,0,0,0.3762090595,-4.265108452,2.311936266,9.494526864,0,0,0,-2.238138481,0,3.98890871,0,0.0007485248004,0.03726578649,0.006350378847,0.06150517322,0.04241295083,0.07560428872
0,0,0,0,9.642421288,0,2.352274788,0,9.25868609,0,0,0,0,6.152252973,-8.078470606,0,0.08536631931,0.05273159691,0.005890390851,0.1359342659,0.05926711544,0.09602805573
0,0,0,0,4.7200343,0,5.465084345,0,8.60007526,0,0,0,0,2.928026658,-8.645048813,0.9469376841,0.04415719563,0.009455989473,0.003624420331,0.115420001,0.08090319426,0.05640066119
0,0,0,0,0,0,4.104918062,-6.307341473,0,0,0.2713160389,4.566431286,9.688357131,0,0,0,0.009073869063,0.09259335111,0.0822637683,0.1367038027,0.1233502061,0.0694690922
